Unnamed: 0,User_ID,Age,Gender,Location,Income,Interests,Last_Login_Days_Ago,Purchase_Frequency,Average_Order_Value,Total_Spending,Product_Category_Preference,Time_Spent_on_Site_Minutes,Pages_Viewed,Newsletter_Subscription,Activity_Score,Value_Level,Activity_Level,AOV_Level,Age_Group,Login_Frequency_Group,Time_Group,Behavior_Pattern,Purchase_Freq_Group,Cluster,Cluster_Name
0,1,56,Male,Suburban,38037,Sports,5,7,18,2546,Books,584,38,True,0.8584738736897096,中等价值,高活跃,低客单,55岁以上,7天内登录,5小时以上,其他模式,高频(6-8次),3,高价值活跃用户
1,2,46,Female,Rural,103986,Technology,15,7,118,320,Electronics,432,40,False,0.6612585601853429,低价值,高活跃,中客单,46-55岁,14-21天,5小时以上,低频长停留,高频(6-8次),0,频次型用户
2,3,32,Female,Suburban,101942,Sports,28,1,146,3766,Apparel,306,1,True,0.18604454135577433,中高价值,低活跃,高客单,26-35岁,21-30天,5小时以上,低频长停留,低频(0-2次),2,高客单用户
3,4,60,Female,Suburban,71612,Fashion,18,3,163,4377,Apparel,527,29,False,0.6014909202412184,高价值,高活跃,高客单,55岁以上,14-21天,5小时以上,低频长停留,中频(3-5次),2,高客单用户
4,5,25,Male,Suburban,49725,Travel,2,5,141,4502,Health & Beauty,53,10,True,0.4611020635299195,高价值,中活跃,高客单,18-25岁,7天内登录,2小时内,高频短停留,中频(3-5次),3,高价值活跃用户
5,6,38,Male,Suburban,25926,Travel,22,8,25,2669,Books,520,28,False,0.5385292948565068,中等价值,中活跃,低客单,36-45岁,21-30天,5小时以上,低频长停留,高频(6-8次),0,频次型用户
6,7,56,Male,Urban,124555,Fashion,11,7,152,1113,Home & Kitchen,330,31,True,0.6084047107991778,中低价值,高活跃,高客单,55岁以上,7-14天,5小时以上,其他模式,高频(6-8次),3,高价值活跃用户
7,8,36,Male,Urban,29496,Technology,26,7,108,2151,Apparel,558,19,True,0.44912564023940127,中等价值,中活跃,中客单,36-45岁,21-30天,5小时以上,低频长停留,高频(6-8次),0,频次型用户
8,9,40,Male,Rural,76447,Travel,25,6,130,4085,Books,325,3,True,0.24780529908123516,高价值,低活跃,中客单,36-45岁,21-30天,5小时以上,低频长停留,高频(6-8次),2,高客单用户
9,10,28,Male,Urban,121604,Food,13,8,61,4999,Electronics,114,36,False,0.5041699885296356,高价值,中活跃,低客单,26-35岁,7-14天,2小时内,其他模式,高频(6-8次),3,高价值活跃用户
10,11,28,Male,Urban,49806,Travel,4,1,78,4410,Health & Beauty,147,43,True,0.6835546772966281,高价值,高活跃,中客单,26-35岁,7天内登录,2-5小时,高频短停留,低频(0-2次),2,高客单用户
11,12,41,Male,Rural,108199,Food,22,2,14,3119,Electronics,166,15,False,0.28164196563433386,中高价值,低活跃,低客单,36-45岁,21-30天,2-5小时,其他模式,低频(0-2次),2,高客单用户
12,13,53,Female,Rural,61321,Fashion,7,9,29,3781,Apparel,379,33,True,0.698523843594199,中高价值,高活跃,低客单,46-55岁,7天内登录,5小时以上,其他模式,极高频(9-10次),3,高价值活跃用户
13,14,57,Female,Rural,142041,Fashion,29,7,88,1543,Apparel,139,41,True,0.33396976820778396,中低价值,低活跃,中客单,55岁以上,21-30天,2-5小时,其他模式,高频(6-8次),0,频次型用户
14,15,41,Male,Urban,122031,Travel,11,5,155,4296,Electronics,299,43,False,0.666348222093512,高价值,高活跃,高客单,36-45岁,7-14天,2-5小时,其他模式,中频(3-5次),3,高价值活跃用户
15,16,20,Male,Urban,85095,Sports,22,9,120,3110,Apparel,276,45,True,0.5204072547215881,中高价值,中活跃,中客单,18-25岁,21-30天,2-5小时,其他模式,极高频(9-10次),0,频次型用户
16,17,39,Female,Rural,42656,Food,24,8,11,672,Books,178,26,False,0.3283322544376682,低价值,低活跃,低客单,36-45岁,21-30天,2-5小时,其他模式,高频(6-8次),0,频次型用户
17,18,19,Male,Suburban,75147,Technology,4,9,102,1432,Apparel,354,16,False,0.6219213428276151,中低价值,高活跃,中客单,18-25岁,7天内登录,5小时以上,其他模式,极高频(9-10次),3,高价值活跃用户
18,19,41,Male,Rural,111396,Travel,28,3,22,4853,Health & Beauty,154,36,False,0.32420337751127165,高价值,低活跃,低客单,36-45岁,21-30天,2-5小时,其他模式,中频(3-5次),2,高客单用户
